# mpu9150 IMU data started at: 14:21:50 2013-05-13
# mpu9150 IMU raw data
# timestamp,ax,ay,az,gx,gy,gz,C
1368480111.242875,65449,65485,4043,23,31,65489,23.14
1368480111.244996,65487,65490,4039,25,18,65489,23.09
1368480111.247166,65480,65465,4052,25,20,65515,23.14
1368480111.249244,65460,65479,4025,13,19,65484,23.19
1368480111.251603,65459,65496,4041,27,13,65506,23.24
1368480111.253493,65465,65476,4026,21,13,65496,23.09
1368480111.255646,65457,65503,4050,11,31,65505,23.14
1368480111.257747,65473,65480,4048,34,8,65484,23.09
1368480111.259908,65469,65505,4042,27,29,65505,23.24
1368480111.262025,65446,65492,4021,22,23,65490,23.09
1368480111.264176,65465,65463,4046,15,22,65510,23.05
1368480111.266262,65446,65487,4090,29,19,65518,23.09
1368480111.268388,65457,65482,4036,29,24,65502,23.05
1368480111.270510,65449,65470,4036,26,18,65491,23.09
1368480111.272658,65445,65468,4026,28,33,65489,23.14
1368480111.274861,65465,65476,4018,21,10,65517,23.09
1368480111.276904,65456,65488,3996,32,14,65493,23.14
1368480111.279047,65464,65486,4063,25,3,65496,23.19
1368480111.281176,65431,65488,4024,33,10,65485,23.24
1368480111.283244,65484,65497,4027,27,24,65506,23.09
1368480111.285355,65472,65501,4045,22,11,65498,23.14
1368480111.287476,65444,65482,4058,26,23,65506,23.19
1368480111.289604,65480,65486,4055,28,15,65500,23.14
1368480111.291783,65468,65483,4010,29,15,65488,23.19
1368480111.293850,65457,65471,4008,24,32,65501,23.24
1368480111.296004,65465,65499,4047,31,19,65490,23.19
1368480111.298166,65436,65478,4063,19,9,65505,23.14
1368480111.300237,65472,65509,4028,25,22,65492,23.09
1368480111.302377,65476,65491,4037,25,36,65506,23.14
1368480111.304615,65447,65492,3995,14,21,65495,23.09
1368480111.306712,65459,65457,4039,16,21,65498,23.14
1368480111.308882,65462,65499,4015,20,21,65505,23.19
1368480111.310987,65467,65486,3992,35,14,65496,23.14
1368480111.313092,65443,65495,4021,24,33,65509,23.19
1368480111.315301,65467,65489,4022,26,22,65505,23.14
1368480111.317354,65464,65528,4063,36,21,65494,23.09
1368480111.319489,65443,65481,4027,28,31,65487,23.14
1368480111.321609,65458,65494,3991,27,12,65507,23.09
1368480111.323870,65444,65493,3984,26,28,65492,23.14
1368480111.325908,65462,65471,4033,29,35,65511,23.09
1368480111.328002,65473,65487,4016,35,22,65497,23.14
1368480111.330126,65451,65484,3997,16,13,65501,23.09
1368480111.332294,65462,65450,4033,31,17,65512,23.14
1368480111.334379,65446,65481,4017,41,28,65492,23.09
1368480111.336526,65452,65489,4023,14,4,65503,23.24
1368480111.338796,65449,65460,3997,29,24,65486,23.19
1368480111.341428,65466,65507,4066,14,11,65499,23.14
1368480111.342925,65462,65471,4093,14,23,65498,23.09
1368480111.345071,65463,65498,4018,23,12,65511,23.05
1368480111.347153,65464,65504,4033,25,18,65493,23.09
1368480111.349348,65483,65510,4048,28,11,65504,23.14
1368480111.351415,65455,65462,4040,35,25,65500,23.09
1368480111.353542,65474,65495,4042,17,5,65499,23.05
1368480111.355706,65435,65532,4068,27,24,65492,23.09
1368480111.357806,65458,65503,4037,21,9,65496,23.14
1368480111.359916,65451,65515,4078,30,24,65502,23.19
1368480111.362072,65484,65491,4013,25,8,65506,23.14
1368480111.364204,65479,65481,4071,30,17,65518,23.19
1368480111.366383,65451,65483,4048,20,21,65491,23.14
1368480111.368438,65472,65493,4039,24,20,65506,23.09
1368480111.370746,65469,65495,4037,28,12,65493,23.14
1368480111.372769,65465,65496,4044,26,8,65499,23.19
1368480111.374851,65471,65510,4013,24,42,65500,23.14
1368480111.376973,65474,65475,4039,25,29,65495,23.09
1368480111.379037,65452,65465,4039,21,16,65517,23.14
1368480111.381233,65467,65482,4049,18,10,65488,23.09
1368480111.383393,65456,65492,4024,15,11,65523,23.24
1368480111.385478,65465,65505,4036,11,14,65487,23.19
1368480111.387607,65453,65486,4038,27,7,65503,23.05
1368480111.389715,65443,65497,4033,18,22,65504,23.19
1368480111.392936,65446,65479,4031,32,19,65504,23.14
1368480111.394008,65460,65485,4022,11,8,65491,23.09
1368480111.396112,65480,65473,4016,20,27,65495,23.14
1368480111.398246,65475,65487,3990,19,6,65511,23.19
1368480111.400568,65455,65497,4040,22,16,65499,23.14
1368480111.402500,65470,65488,4031,31,20,65500,23.19
1368480111.404657,65461,65467,4055,17,22,65498,23.14
1368480111.406768,65445,65472,3995,21,18,65518,23.09
1368480111.408919,65446,65486,4055,28,21,65478,23.14
1368480111.411030,65450,65486,4020,21,14,65498,23.09
1368480111.413155,65470,65504,4082,28,41,65491,23.14
1368480111.415289,65454,65475,4016,33,31,65520,23.09
1368480111.417461,65478,65449,4014,26,23,65497,23.24
1368480111.419535,65472,65507,4027,27,22,65503,23.09
1368480111.421643,65448,65504,4049,23,27,65494,23.14
1368480111.423854,65455,65502,4015,29,22,65505,23.09
1368480111.425939,65467,65476,4029,31,19,65505,23.05
1368480111.428069,65435,65489,3995,22,31,65475,23.19
1368480111.430334,65463,65487,4039,24,27,65506,23.14
1368480111.432321,65473,65513,4021,13,35,65488,23.09
1368480111.434513,65461,65491,4010,24,15,65516,23.14
